seed,delta_base,vacancy_rate,simulated_unrate,distance
1058,0.007404878380376267,0.021074551564835897,0.046129166666666666,0.0011291666666666672
1089,0.010368435842679172,0.06561599741728147,0.049079166666666674,0.004079166666666675
1092,0.006111997032619899,0.03702462087379832,0.041179166666666656,0.0038208333333333427
1091,0.009232415336466628,0.020800935469536132,0.04788749999999997,0.0028874999999999734
1142,0.007604533053791203,0.023481726237723523,0.043041666666666534,0.0019583333333334646
1196,0.009756823558936185,0.012502664365268252,0.04793333333333327,0.002933333333333274
1202,0.00753729926716194,0.034104748778921105,0.04491250000000002,8.749999999997649e-05
1215,0.007036511919029496,0.037287509194316074,0.04490000000000005,9.999999999994735e-05
1222,0.007324611656649578,0.04621247893150389,0.04471666666666663,0.0002833333333333715
1240,0.008167766232856467,0.0770527657204696,0.0471583333333333,0.002158333333333304
1249,0.0051383309875868005,0.0314283661660858,0.04307083333333328,0.0019291666666667179
1252,0.007199445063430106,0.03446847492728336,0.04871250000000005,0.003712500000000049
1255,0.007442316295343979,0.04326849350600579,0.04675416666666676,0.001754166666666765
1257,0.006686639501899717,0.023575946635311405,0.04517083333333327,0.00017083333333327289
1259,0.005265621745892169,0.0653571861451699,0.045104166666666834,0.0001041666666668356
1267,0.008089957176343832,0.06414538145706107,0.04916666666666669,0.0041666666666666935
1301,0.0066562069696662375,0.06975473434592597,0.04619166666666674,0.0011916666666667436
1319,0.010632930491120376,0.05562834120499889,0.0489208333333333,0.003920833333333304
1327,0.008015813549769801,0.05832443153971076,0.04945416666666669,0.00445416666666669
1329,0.005038279246649011,0.053085187720557384,0.04314583333333333,0.0018541666666666706
1360,0.007212485511260466,0.05755001860614477,0.04741666666666655,0.002416666666666553
1387,0.005684545658116204,0.023597140358715872,0.04648333333333332,0.0014833333333333226
1388,0.009578673361001567,0.06910704738755341,0.049337500000000034,0.004337500000000036
1398,0.008621137322381553,0.01585178964638916,0.04583333333333339,0.0008333333333333942
1406,0.007658433792624242,0.05217070037405083,0.04380000000000006,0.0011999999999999372
